index	english	greek	isopsephy
987	kiwi	κιυι	440
988	knee	κνεε	80
989	knife	κνιφε	585
990	knock	κνοκκ	180
991	know	κνου	540
992	lab	λαμπ	151
993	label	λαμπελ	186
994	labor	λαμπορ	321
995	ladder	λαντντερ	836
996	lady	λαντυ	781
997	lake	λακε	56
998	lamp	λαμπ	151
999	language	λανγκυαγκε	533
1000	laptop	λαπτοπ	561
1001	large	λαργκε	159
1002	later	λατερ	436
1003	latin	λατιν	391
1004	laugh	λαυγκη	462
1005	laundry	λαυνντρυ	1331
1006	lava	λαβα	34
1007	law	λαυ	431
1008	lawn	λαυν	481
1009	lawsuit	λαυσυιτ	1341
1010	layer	λαυερ	536
1011	lazy	λαζυ	438
1012	leader	λεαντερ	491
1013	leaf	λεαφ	536
1014	learn	λεαρν	186
1015	leave	λεαβε	43
1016	lecture	λεκτυρε	860
1017	left	λεφτ	835
1018	leg	λεγκ	58
1019	legal	λεγκαλ	89
1020	legend	λεγκενντ	463
1021	leisure	λεισυρε	750
1022	lemon	λεμον	195
1023	lend	λενντ	435
1024	length	λενγκτη	416
1025	lens	λενς	285
1026	leopard	λεοπαρντ	636
1027	lesson	λεσσον	555
1028	letter	λεττερ	740
1029	level	λεβελ	72
1030	liar	λιαρ	141
1031	liberty	λιμπερτυ	965
1032	library	λιμπραρυ	761
1033	license	λικενσε	320
1034	life	λιφε	545
1035	lift	λιφτ	840
1036	light	λιγκητ	371
1037	like	λικε	65
1038	limb	λιμμπ	200
1039	limit	λιμιτ	390
1040	link	λινκ	110
1041	lion	λιον	160
1042	liquid	λικυιντ	820
1043	list	λιστ	540
1044	little	λιττλε	675
1045	live	λιβε	47
1046	lizard	λιζαρντ	498
1047	load	λοαντ	451
1048	loan	λοαν	151
1049	lobster	λομπστερ	825
1050	local	λοκαλ	151
1051	lock	λοκκ	140
1052	logic	λογκικ	153
1053	lonely	λονελυ	585
1054	long	λονγκ	173
1055	loop	λοοπ	250
1056	lottery	λοττερυ	1205
1057	loud	λουντ	850
1058	lounge	λουνγκε	578
1059	love	λοβε	107
1060	loyal	λουαλ	531
1061	lucky	λυκκυ	870
1062	luggage	λυγκγκαγκε	505
1063	lumber	λυμμπερ	695
1064	lunar	λυναρ	581
1065	lunch	λυνκη	508
1066	luxury	λυξυρυ	1390
1067	lyrics	λυρικς	760
1068	machine	μακηινε	134
1069	mad	μαντ	391
1070	magic	μαγκικ	94
1071	magnet	μαγκνετ	419
1072	maid	μαιντ	401
1073	mail	μαιλ	81
1074	main	μαιν	101
1075	major	ματζορ	518
1076	make	μακε	66
1077	mammal	μαμμαλ	152
1078	man	μαν	91
1079	manage	μαναγκε	120
1080	mandate	μανντατε	747
1081	mango	μανγκο	184
1082	mansion	μανσιον	421
1083	manual	μανυαλ	522
1084	maple	μαπλε	156
1085	marble	μαρμπλε	296
1086	march	μαρκη	169
1087	margin	μαργκιν	224
1088	marine	μαρινε	206
1089	market	μαρκετ	466
1090	marriage	μαρριαγκε	280
1091	mask	μασκ	261
1092	mass	μασς	441
1093	master	μαστερ	646
1094	match	ματκη	369
1095	material	ματεριαλ	487
1096	math	ματη	349
1097	matrix	ματριξ	511
1098	matter	ματτερ	746
1099	maximum	μαξιμυμ	591
1100	maze	μαζε	53
1101	meadow	μεαντου	866
1102	mean	μεαν	96
1103	measure	μεασυρε	751
1104	meat	μεατ	346
1105	mechanic	μεκηανικ	154
1106	medal	μενταλ	426
1107	media	μεντια	406
1108	melody	μελοντυ	895
1109	melt	μελτ	375
1110	member	μεμμπερ	310
1111	memory	μεμορυ	655
1112	mention	μεντιον	525
1113	menu	μενυ	495
1114	mercy	μερκυ	565
1115	merge	μεργκε	173
1116	merit	μεριτ	455
1117	merry	μερρυ	645
1118	mesh	μεση	253
1119	message	μεσσαγκε	474
1120	metal	μεταλ	376
1121	method	μετηοντ	773
1122	middle	μιντντλε	785
1123	midnight	μιντνιγκητ	791
1124	milk	μιλκ	100
1125	million	μιλλιον	240
1126	mimic	μιμικ	120
1127	mind	μινντ	450
1128	minimum	μινιμυμ	590
1129	minor	μινορ	270
1130	minute	μινυτε	805
1131	miracle	μιρακλε	206
1132	mirror	μιρρορ	420
1133	misery	μισερυ	755
1134	miss	μισς	450
1135	mistake	μιστακε	576
1136	mix	μιξ	110
1137	mixed	μιξεντ	465
1138	mixture	μιξτυρε	915
1139	mobile	μομπιλε	275
1140	model	μοντελ	495
1141	modify	μοντιφυ	1370
1142	mom	μομ	150
1143	moment	μομεντ	505
1144	monitor	μονιτορ	640
1145	monkey	μονκευ	585
1146	monster	μονστερ	765
1147	month	μοντη	468
1148	moon	μοον	230
1149	moral	μοραλ	241
1150	more	μορε	215
1151	morning	μορνινγκ	343
1152	mosquito	μοσκυιτο	1110
1153	mother	μοτηερ	523
1154	motion	μοτιον	540
1155	motor	μοτορ	580
1156	mountain	μουνταιν	921
1157	mouse	μουσε	715
1158	move	μοβε	117
1159	movie	μοβιε	127
1160	much	μυκη	468
1161	muffin	μυφφιν	1500
1162	mule	μυλε	475
1163	multiply	μυλτιπλυ	1290
1164	muscle	μυσκλε	695
1165	museum	μυσευμ	1085
1166	mushroom	μυσηροομ	928
1167	music	μυσικ	670
1168	must	μυστ	940
1169	mutual	μυτυαλ	1171
1170	myself	μυσελφ	1175
1171	mystery	μυστερυ	1445
1172	myth	μυτη	748
1173	naive	ναιβε	68
1174	name	ναμε	96
1175	napkin	ναπκιν	211
1176	narrow	ναρρου	721
1177	nasty	ναστυ	951
1178	nation	νατιον	481
1179	nature	νατυρε	856
1180	near	νεαρ	156
1181	neck	νεκκ	95
1182	need	νεεντ	410
1183	negative	νεγκατιβε	396
1184	neglect	νεγκλεκτ	433
1185	neither	νειτηερ	478
1186	nephew	νεπηευ	548
1187	nerve	νερβε	162
1188	nest	νεστ	555
1189	net	νετ	355
1190	network	νετυορκ	945
1191	neutral	νευτραλ	886
1192	never	νεβερ	162
1193	news	νευς	655
1194	next	νεξτ	415
1195	nice	νικε	85
1196	night	νιγκητ	391
1197	noble	νομπλε	275
1198	noise	νοισε	335
1199	nominee	νομινεε	230
1200	noodle	νοοντλε	575
1201	normal	νορμαλ	291
1202	north	νορτη	528
1203	nose	νοσε	325
1204	notable	νοταμπλε	576
1205	note	νοτε	425
1206	nothing	νοτηινγκ	511
1207	notice	νοτικε	455
1208	novel	νοβελ	157
1209	now	νου	520
1210	nuclear	νυκλεαρ	606
1211	number	νυμμπερ	715
1212	nurse	νυρσε	755
1213	nut	νυτ	750
1214	oak	οακ	91
1215	obey	ομπευ	595
1216	object	ομπτζεκτ	822
1217	oblige	ομπλιγκε	258
1218	obscure	ομπσκυρε	915
1219	observe	ομπσερβε	502
1220	obtain	ομπταιν	551
1221	obvious	ομπβιους	872
1222	occur	οκκυρ	610
1223	ocean	οκεαν	146
1224	october	οκτομπερ	685
1225	odor	οντορ	590
1226	off	οφφ	1070
1227	offer	οφφερ	1175
1228	office	οφφικε	1105
1229	often	οφτεν	925
1230	oil	οιλ	110
1231	okay	οκαυ	491
1232	old	ολντ	450
1233	olive	ολιβε	117
1234	olympic	ολυμπικ	650
1235	omit	ομιτ	420
1236	once	ονκε	145
1237	one	ονε	125
1238	onion	ονιον	250
1239	online	ονλινε	215
1240	only	ονλυ	550
1241	open	οπεν	205
1242	opera	οπερα	256
1243	opinion	οπινιον	340
1244	oppose	οπποσε	505
1245	option	οπτιον	580
1246	orange	ορανγκε	249
1247	orbit	ορμπιτ	600
1248	orchard	ορκηαρντ	649
1249	order	ορντερ	625
1250	ordinary	ορντιναρυ	1081
1251	organ	οργκαν	244
1252	orient	οριεντ	535
1253	original	οριγκιναλ	294
1254	orphan	ορπηαν	309
1255	ostrich	οστρικη	708
1256	other	οτηερ	483
1257	outdoor	ουτντοορ	1360
1258	outer	ουτερ	875
1259	output	ουτπυτ	1550
1260	outside	ουτσιντε	1335
1261	oval	οβαλ	103
1262	oven	οβεν	127
1263	over	οβερ	177
1264	own	ουν	520
1265	owner	ουνερ	625
1266	oxygen	οξυγκεν	608
1267	oyster	ουστερ	1075
1268	ozone	οζονε	202
1269	pact	πακτ	401
1270	paddle	παντντλε	816
1271	page	παγκε	109
1272	pair	παιρ	191
1273	palace	παλακε	137
1274	palm	παλμ	151
1275	panda	πανντα	482
1276	panel	πανελ	166
1277	panic	πανικ	161
1278	panther	παντηερ	544
1279	paper	παπερ	266
1280	parade	παραντε	537
1281	parent	παρεντ	536
1282	park	παρκ	201
1283	parrot	παρροτ	651
1284	party	παρτυ	881
1285	pass	πασς	481
1286	patch	πατκη	409
1287	path	πατη	389
1288	patient	πατιεντ	746
1289	patrol	πατρολ	581
1290	pattern	παττερν	836
1291	pause	παυσε	686
1292	pave	παβε	88
1293	payment	παυμεντ	876
1294	peace	πεακε	111
1295	peanut	πεανυτ	836
1296	pear	πεαρ	186
1297	peasant	πεασαντ	637
1298	pelican	πελικαν	196
1299	pen	πεν	135
1300	penalty	πεναλτυ	866
1301	pencil	πενκιλ	195
1302	people	πεοπλε	270
1303	pepper	πεππερ	350
1304	perfect	περφεκτ	1010
1305	permit	περμιτ	535
1306	person	περσον	505
1307	pet	πετ	385
1308	phone	πηονε	213
1309	photo	πηοτο	528
1310	phrase	πηρασε	394
1311	physical	πηυσικαλ	749
1312	piano	πιανο	211
1313	picnic	πικνικ	190
1314	picture	πικτυρε	915
1315	piece	πιεκε	120
1316	pig	πιγκ	113
1317	pigeon	πιγκεον	238
1318	pill	πιλλ	150
1319	pilot	πιλοτ	490
1320	pink	πινκ	160
1321	pioneer	πιονεερ	320
1322	pipe	πιπε	175
1323	pistol	πιστολ	690
1324	pitch	πιτκη	418
1325	pizza	πιζζα	105
1326	place	πλακε	136
1327	planet	πλανετ	466
1328	plastic	πλαστικ	641
1329	plate	πλατε	416
1330	play	πλαυ	511
1331	please	πλεασε	321
1332	pledge	πλεντγκε	493
1333	pluck	πλυκκ	550
1334	plug	πλυγκ	533
1335	plunge	πλυνγκε	588
1336	poem	ποεμ	195
1337	poet	ποετ	455
1338	point	ποιντ	510
1339	polar	πολαρ	281
1340	pole	πολε	185
1341	police	πολικε	215
1342	pond	πονντ	550
1343	pony	πονυ	600
1344	pool	ποολ	250
1345	popular	ποπυλαρ	761
1346	portion	πορτιον	680
1347	position	ποσιτιον	790
1348	possible	ποσσιμπλε	715
1349	post	ποστ	650
1350	potato	ποτατο	821
1351	pottery	ποττερυ	1255
1352	poverty	ποβερτυ	957
1353	powder	πουντερ	1005
1354	power	πουερ	655
1355	practice	πρακτικε	536
1356	praise	πραισε	396
1357	predict	πρεντικτ	865
1358	prefer	πρεφερ	790
1359	prepare	πρεπαρε	371
1360	present	πρεσεντ	740
1361	pretty	πρεττυ	1185
1362	prevent	πρεβεντ	542
1363	price	πρικε	215
1364	pride	πριντε	545
1365	primary	πριμαρυ	731
1366	print	πριντ	540
1367	priority	πριοριτυ	1070
1368	prison	πρισον	510
1369	private	πριβατε	498
1370	prize	πριζε	202
1371	problem	προμπλεμ	445
1372	process	προκεσς	675
1373	produce	προντυκε	1025
1374	profit	προφιτ	1060
1375	program	προγκραμ	414
1376	project	προτζεκτ	882
1377	promote	προμοτε	665
1378	proof	προοφ	820
1379	property	προπερτυ	1135
1380	prosper	προσπερ	635
1381	protect	προτεκτ	875
1382	proud	προυντ	1000
1383	provide	προβιντε	617
1384	public	πυμπλικ	660
1385	pudding	πυντντινγκ	1263
1386	pull	πυλλ	540
1387	pulp	πυλπ	590
1388	pulse	πυλσε	715
1389	pumpkin	πυμπκιν	680
1390	punch	πυνκη	558
1391	pupil	πυπιλ	600
1392	puppy	πυππυ	1040
1393	purchase	πυρκηασε	814
1394	purity	πυριτυ	1290
1395	purpose	πυρποσε	935
1396	purse	πυρσε	785
1397	push	πυση	688
1398	put	πυτ	780
1399	puzzle	πυζζλε	529
1400	pyramid	πυραμιντ	981
1401	quality	κυαλιτυ	1161
1402	quantum	κυαντυμ	1211
1403	quarter	κυαρτερ	926
1404	question	κυεστιον	1055
1405	quick	κυικκ	470
1406	quit	κυιτ	730
1407	quiz	κυιζ	437
1408	quote	κυοτε	795
1409	rabbit	ραμπμπιτ	651
1410	raccoon	ρακκοον	331
1411	race	ρακε	126
1412	rack	ρακκ	141
1413	radar	ρανταρ	552
1414	radio	ραντιο	531
1415	rail	ραιλ	141
1416	rain	ραιν	161
1417	raise	ραισε	316
1418	rally	ραλλυ	561
1419	ramp	ραμπ	221
1420	ranch	ρανκη	179
1421	random	ρανντομ	611
1422	range	ρανγκε	179
1423	rapid	ραπιντ	541
1424	rare	ραρε	206
1425	rate	ρατε	406
1426	rather	ρατηερ	514
1427	raven	ραβεν	158
1428	raw	ραυ	501
1429	razor	ραζορ	278
1430	ready	ρεαντυ	856
1431	real	ρεαλ	136
1432	reason	ρεασον	426
1433	rebel	ρεμπελ	260
1434	rebuild	ρεμπυιλντ	1015
1435	recall	ρεκαλλ	186
1436	receive	ρεκειβε	147
1437	recipe	ρεκιπε	220
1438	record	ρεκορντ	645
1439	recycle	ρεκυκλε	580
1440	reduce	ρεντυκε	880
1441	reflect	ρεφλεκτ	960
1442	reform	ρεφορμ	815
1443	refuse	ρεφυσε	1210
1444	region	ρεγκιον	258
1445	regret	ρεγκρετ	533
1446	regular	ρεγκυλαρ	659
1447	reject	ρετζεκτ	737
1448	relax	ρελαξ	196
1449	release	ρελεασε	346
1450	relief	ρελιεφ	650
1451	rely	ρελυ	535
1452	remain	ρεμαιν	206
1453	remember	ρεμεμμπερ	415
1454	remind	ρεμινντ	555
1455	remove	ρεμοβε	222
1456	render	ρενντερ	610
1457	renew	ρενευ	560
1458	rent	ρεντ	455
1459	reopen	ρεοπεν	310
1460	repair	ρεπαιρ	296
1461	repeat	ρεπεατ	491
1462	replace	ρεπλακε	241
1463	report	ρεπορτ	655
1464	require	ρεκυιρε	640
1465	rescue	ρεσκυε	730
1466	resemble	ρεσεμμπλε	505
1467	resist	ρεσιστ	815
1468	resource	ρεσουρκε	900
1469	response	ρεσπονσε	710
1470	result	ρεσυλτ	1035
1471	retire	ρετιρε	520
1472	retreat	ρετρεατ	811
1473	return	ρετυρν	955
1474	reunion	ρευνιον	685
1475	reveal	ρεβεαλ	143
1476	review	ρεβιευ	522
1477	reward	ρευαρντ	956
1478	rhythm	ρηυτημ	856
1479	rib	ριμπ	230
1480	ribbon	ριμπμπον	470
1481	rice	ρικε	135
1482	rich	ρικη	138
1483	ride	ριντε	465
1484	ridge	ριντγκε	488
1485	rifle	ριφλε	645
1486	right	ριγκητ	441
1487	rigid	ριγκιντ	493
1488	ring	ρινγκ	183
1489	riot	ριοτ	480
1490	ripple	ριππλε	305
1491	risk	ρισκ	330
1492	ritual	ριτυαλ	841
1493	rival	ριβαλ	143
1494	river	ριβερ	217
1495	road	ροαντ	521
1496	roast	ροαστ	671
1497	robot	ρομποτ	660
1498	robust	ρομπυστ	1190
1499	rocket	ροκκετ	515
1500	romance	ρομανκε	286
1501	roof	ροοφ	740
1502	rookie	ροοκιε	275
1503	room	ροομ	280
1504	rose	ροσε	375
1505	rotate	ροτατε	776
1506	rough	ρουγκη	601
1507	round	ρουνντ	970
1508	route	ρουτε	875
1509	royal	ρουαλ	601
1510	rubber	ρυμπμπερ	845
1511	rude	ρυντε	855
1512	rug	ρυγκ	523
1513	rule	ρυλε	535
1514	run	ρυν	550
1515	runway	ρυνυαυ	1351
1516	rural	ρυραλ	631
1517	sad	σαντ	551
1518	saddle	σαντντλε	936
1519	sadness	σαντνεσς	1006
1520	safe	σαφε	706
1521	sail	σαιλ	241
1522	salad	σαλαντ	582
1523	salmon	σαλμον	391
1524	salon	σαλον	351
1525	salt	σαλτ	531
1526	salute	σαλυτε	936
1527	same	σαμε	246
1528	sample	σαμπλε	356
1529	sand	σανντ	601
1530	satisfy	σατισφυ	1611
1531	satoshi	σατοσηι	789
1532	sauce	σαυκε	626
1533	sausage	σαυσαγκε	830
1534	save	σαβε	208
1535	say	σαυ	601
1536	scale	σκαλε	256
1537	scan	σκαν	271
1538	scare	σκαρε	326
1539	scatter	σκαττερ	926
1540	scene	σκενε	280
1541	scheme	σκηεμε	278
1542	school	σκηοολ	398
1543	science	σκιενκε	310
1544	scissors	σκισσορς	1000
1545	scorpion	σκορπιον	600
1546	scout	σκουτ	990
1547	scrap	σκραπ	401
1548	screen	σκρεεν	380
1549	script	σκριπτ	710
1550	scrub	σκρυμπ	840
1551	sea	σεα	206
1552	search	σεαρκη	334
1553	season	σεασον	526
1554	seat	σεατ	506
1555	second	σεκονντ	695
1556	secret	σεκρετ	630
1557	section	σεκτιον	655
1558	security	σεκυριτυ	1435
1559	seed	σεεντ	560
1560	seek	σεεκ	230
1561	segment	σεγκμεντ	623
1562	select	σελεκτ	560
1563	sell	σελλ	265
1564	seminar	σεμιναρ	406
1565	senior	σενιορ	435
1566	sense	σενσε	460
1567	sentence	σεντενκε	635
1568	series	σεριες	520
1569	service	σερβικε	342
1570	session	σεσσιον	735
1571	settle	σεττλε	840
1572	setup	σετυπ	985
1573	seven	σεβεν	262
1574	shadow	σηαντου	1029
1575	shaft	σηαφτ	1009
1576	shallow	σηαλλου	739
1577	share	σηαρε	314
1578	shed	σηεντ	563
1579	shell	σηελλ	273
1580	sheriff	σηεριφφ	1323
1581	shield	σηιελντ	603
1582	shift	σηιφτ	1018
1583	shine	σηινε	273
1584	ship	σηιπ	298
1585	shiver	σηιβερ	325
1586	shock	σηοκκ	318
1587	shoe	σηοε	283
1588	shoot	σηοοτ	648
1589	shop	σηοπ	358
1590	short	σηορτ	678
1591	shoulder	σηουλντερ	1163
1592	shove	σηοβε	285
1593	shrimp	σηριμπ	438
1594	shrug	σηρυγκ	731
1595	shuffle	σηυφφλε	1643
1596	shy	σηυ	608
1597	sibling	σιμπλινγκ	443
1598	sick	σικκ	250
1599	side	σιντε	565
1600	siege	σιεγκε	243
1601	sight	σιγκητ	541
1602	sign	σιγκν	283
1603	silent	σιλεντ	595
1604	silk	σιλκ	260
1605	silly	σιλλυ	670
1606	silver	σιλβερ	347
1607	similar	σιμιλαρ	391
1608	simple	σιμπλε	365
1609	since	σινκε	285
1610	sing	σινγκ	283
1611	siren	σιρεν	365
1612	sister	σιστερ	815
1613	situate	σιτυατε	1216
1614	six	σιξ	270
1615	size	σιζε	222
1616	skate	σκατε	526
1617	sketch	σκετκη	553
1618	ski	σκι	230
1619	skill	σκιλλ	290
1620	skin	σκιν	280
1621	skirt	σκιρτ	630
1622	skull	σκυλλ	680
1623	slab	σλαμπ	351
1624	slam	σλαμ	271
1625	sleep	σλεεπ	320
1626	slender	σλενντερ	740
1627	slice	σλικε	265
1628	slide	σλιντε	595
1629	slight	σλιγκητ	571
1630	slim	σλιμ	280
1631	slogan	σλογκαν	374
1632	slot	σλοτ	600
1633	slow	σλου	700
1634	slush	σλυση	838
1635	small	σμαλλ	301
1636	smart	σμαρτ	641
1637	smile	σμιλε	285
1638	smoke	σμοκε	335
1639	smooth	σμοοτη	688
1640	snack	σνακκ	291
1641	snake	σνακε	276
1642	snap	σναπ	331
1643	sniff	σνιφφ	1260
1644	snow	σνου	720
1645	soap	σοαπ	351
1646	soccer	σοκκερ	415
1647	social	σοκιαλ	331
1648	sock	σοκκ	310
1649	soda	σοντα	621
1650	soft	σοφτ	1070
1651	solar	σολαρ	401
1652	soldier	σολντιερ	765
1653	solid	σολιντ	660
1654	solution	σολυτιον	1130
1655	solve	σολβε	307
1656	someone	σομεονε	440
1657	song	σονγκ	343
1658	soon	σοον	390
1659	sorry	σορρυ	870
1660	sort	σορτ	670
1661	soul	σουλ	700
1662	sound	σουνντ	1070
1663	soup	σουπ	750
1664	source	σουρκε	795
1665	south	σουτη	978
1666	space	σπακε	306
1667	spare	σπαρε	386
1668	spatial	σπατιαλ	622
1669	spawn	σπαυν	731
1670	speak	σπεακ	306
1671	special	σπεκιαλ	346
1672	speed	σπεεντ	640
1673	spell	σπελλ	345
1674	spend	σπενντ	685
1675	sphere	σπηερε	398
1676	spice	σπικε	315
1677	spider	σπιντερ	745
1678	spike	σπικε	315
1679	spin	σπιν	340
1680	spirit	σπιριτ	700
1681	split	σπλιτ	620
1682	spoil	σποιλ	390
1683	sponsor	σπονσορ	770
1684	spoon	σποον	470
1685	sport	σπορτ	750
1686	spot	σποτ	650
1687	spray	σπραυ	781
1688	spread	σπρεαντ	736
1689	spring	σπρινγκ	463
1690	spy	σπυ	680
1691	square	σκυαρε	726
1692	squeeze	σκυεεζε	642
1693	squirrel	σκυιρρελ	865
1694	stable	σταμπλε	656
1695	stadium	σταντιυμ	1301
1696	staff	σταφφ	1501
1697	stage	σταγκε	529
1698	stairs	σταιρς	811
1699	stamp	σταμπ	621
1700	stand	στανντ	901
1701	start	σταρτ	901
1702	state	στατε	806
1703	stay	σταυ	901
1704	steak	στεακ	526
1705	steel	στεελ	540
1706	stem	στεμ	545
1707	step	στεπ	585
1708	stereo	στερεο	680
1709	stick	στικκ	550
1710	still	στιλλ	570
1711	sting	στινγκ	583
1712	stock	στοκκ	610
1713	stomach	στομακη	639
1714	stone	στονε	625
1715	stool	στοολ	670
1716	story	στορυ	1070
1717	stove	στοβε	577
1718	strategy	στρατεγκυ	1329
1719	street	στρεετ	910
1720	strike	στρικε	635
1721	strong	στρονγκ	743
1722	struggle	στρυγκγκλε	1081
1723	student	στυντεντ	1605
1724	stuff	στυφφ	1900
1725	stumble	στυμμπλε	1095
1726	style	στυλε	935
1727	subject	συμπτζεκτ	1352
1728	submit	συμπμιτ	1070
1729	subway	συμπυαυ	1521
1730	success	συκκεσς	1045
1731	such	συκη	628
1732	sudden	συντντεν	1355
1733	suffer	συφφερ	1705
1734	sugar	συγκαρ	724
1735	suggest	συγκγκεστ	1151
1736	suit	συιτ	910
1737	summer	συμμερ	785
1738	sun	συν	650
1739	sunny	συννυ	1100
1740	sunset	συνσετ	1155
1741	super	συπερ	785
1742	supply	συππλυ	1190
1743	supreme	συπρεμε	830
1744	sure	συρε	705
1745	surface	συρφακε	1226
1746	surge	συργκε	728
1747	surprise	συρπρισε	1095
1748	surround	συρρουνντ	1670
1749	survey	συρβευ	1107
1750	suspect	συσπεκτ	1205
1751	sustain	συσταιν	1161
1752	swallow	συαλλου	1131
1753	swamp	συαμπ	721
1754	swap	συαπ	681
1755	swarm	συαρμ	741
1756	swear	συεαρ	706
1757	sweet	συεετ	910
1758	swift	συιφτ	1410
1759	swim	συιμ	650
1760	swing	συινγκ	683
1761	switch	συιτκη	938
1762	sword	συορντ	1120
1763	symbol	συμμπολ	860
1764	symptom	συμπτομ	1130
1765	syrup	συρυπ	1180
1766	system	συστεμ	1145
1767	table	ταμπλε	456
1768	tackle	τακκλε	376
1769	tag	ταγκ	324
1770	tail	ταιλ	341
1771	talent	ταλεντ	686
1772	talk	ταλκ	351
1773	tank	τανκ	371
1774	tape	ταπε	386
1775	target	ταργκετ	729
1776	task	τασκ	521
1777	taste	ταστε	806
1778	tattoo	ταττοο	1041
1779	taxi	ταξι	371
1780	teach	τεακη	334
1781	team	τεαμ	346
1782	tell	τελλ	365
1783	ten	τεν	355
1784	tenant	τεναντ	706
1785	tennis	τεννις	615
1786	tent	τεντ	655
1787	term	τερμ	445
1788	test	τεστ	805
1789	text	τεξτ	665
1790	thank	τηανκ	379
1791	that	τηατ	609
1792	theme	τηεμε	358
1793	then	τηεν	363
1794	theory	τηεορυ	883
1795	there	τηερε	418
1796	they	τηευ	713
1797	thing	τηινγκ	391
1798	this	τηις	518
1799	thought	τηουγκητ	1109
1800	three	τηρεε	418
1801	thrive	τηριβε	425
1802	throw	τηρου	878
1803	thumb	τηυμμπ	868
1804	thunder	τηυνντερ	1213
1805	ticket	τικκετ	655
1806	tide	τιντε	665
1807	tiger	τιγκερ	438
1808	tilt	τιλτ	640
1809	timber	τιμμπερ	575
1810	time	τιμε	355
1811	tiny	τινυ	760
1812	tip	τιπ	390
1813	tired	τιρεντ	765
1814	tissue	τισσυε	1115
1815	title	τιτλε	645
1816	toast	τοαστ	871
1817	tobacco	τομπακκο	601
1818	today	τονταυ	1121
1819	toddler	τοντντλερ	1205
1820	toe	τοε	375
1821	together	τογκετηερ	811
1822	toilet	τοιλετ	715
1823	token	τοκεν	445
1824	tomato	τοματο	781
1825	tomorrow	τομορρου	1150
1826	tone	τονε	425
1827	tongue	τονγκυε	848
1828	tonight	τονιγκητ	761
1829	tool	τοολ	470
1830	tooth	τοοτη	748
1831	top	τοπ	450
1832	topic	τοπικ	480
1833	topple	τοππλε	565
1834	torch	τορκη	498
1835	tornado	τορναντο	941
1836	tortoise	τορτοισε	1055
1837	toss	τοσς	770
1838	total	τοταλ	701
1839	tourist	τουριστ	1380
1840	toward	τουαρντ	1221
1841	tower	τουερ	875
1842	town	τουν	820
1843	toy	του	770
1844	track	τρακκ	441
1845	trade	τραντε	756
1846	traffic	τραφφικ	1431
1847	tragic	τραγκικ	454
1848	train	τραιν	461
1849	transfer	τρανσφερ	1256
1850	trap	τραπ	481
1851	trash	τραση	609
1852	travel	τραβελ	438
1853	tray	τραυ	801
1854	treat	τρεατ	706
1855	tree	τρεε	410
1856	trend	τρενντ	805
1857	trial	τριαλ	441
1858	tribe	τριμπε	535
1859	trick	τρικκ	450
1860	trigger	τριγκγκερ	561
1861	trim	τριμ	450
1862	trip	τριπ	490
1863	trophy	τροπηυ	958
1864	trouble	τρουμπλε	1025
1865	truck	τρυκκ	840
1866	true	τρυε	805
1867	truly	τρυλυ	1230
1868	trumpet	τρυμπετ	1225
1869	trust	τρυστ	1300
1870	truth	τρυτη	1108
1871	try	τρυ	800
1872	tube	τυμπε	825
1873	tuition	τυιτιον	1140
1874	tumble	τυμμπλε	895
1875	tuna	τυνα	751
1876	tunnel	τυννελ	835
1877	turkey	τυρκευ	1225
1878	turn	τυρν	850
1879	turtle	τυρτλε	1135
1880	twelve	τυελβε	742
1881	twenty	τυεντυ	1455
1882	twice	τυικε	735
1883	twin	τυιν	760
1884	twist	τυιστ	1210
1885	two	τυο	770
1886	type	τυπε	785
1887	typical	τυπικαλ	841
1888	ugly	υγκλυ	853
1889	umbrella	υμμπρελλα	726
1890	unable	υναμπλε	606
1891	unaware	υναυαρε	957
1892	uncle	υνκλε	505
1893	uncover	υνκοβερ	647
1894	under	υνντερ	905
1895	undo	υνντο	870
1896	unfair	υνφαιρ	1061
1897	unfold	υνφολντ	1400
1898	unhappy	υνηαππυ	1019
1899	uniform	υνιφορμ	1170
1900	unique	υνικυε	885
1901	unit	υνιτ	760
1902	universe	υνιβερσε	772
1903	unknown	υνκνουν	1040
1904	unlock	υνλοκκ	590
1905	until	υντιλ	790
1906	unusual	υνυσυαλ	1481
1907	unveil	υνβειλ	497
1908	update	υπντατε	1136
1909	upgrade	υπγκραντε	959
1910	uphold	υπηολντ	938
1911	upon	υπον	600
1912	upper	υππερ	665
1913	upset	υπσετ	985
1914	urban	υρμπαν	671
1915	urge	υργκε	528
1916	usage	υσαγκε	629
1917	use	υσε	605
1918	used	υσεντ	955
1919	useful	υσεφυλ	1535
1920	useless	υσελεσς	1040
1921	usual	υσυαλ	1031
1922	utility	υτιλιτυ	1450
1923	vacant	βακαντ	374
1924	vacuum	βακυυμ	863
1925	vague	βαγκυε	431
1926	valid	βαλιντ	393
1927	valley	βαλλευ	468
1928	valve	βαλβε	40
1929	van	βαν	53
1930	vanish	βανιση	271
1931	vapor	βαπορ	253
1932	various	βαριους	783
1933	vast	βαστ	503
1934	vault	βαυλτ	733
1935	vehicle	βεηικλε	80
1936	velvet	βελβετ	344
1937	vendor	βενντορ	577
1938	venture	βεντυρε	862
1939	venue	βενυε	462
1940	verb	βερμπ	227
1941	verify	βεριφυ	1017
1942	version	βερσιον	437
1943	very	βερυ	507
1944	vessel	βεσσελ	442
